EL13_ENG_0001	E0052846	GPE	N	N	N
EL13_ENG_0002	NIL00001	GPE	N	N	N
EL13_ENG_0003	E0462439	GPE	N	N	N
EL13_ENG_0004	E0802613	GPE	N	N	N
EL13_ENG_0005	NIL00002	GPE	N	N	N
EL13_ENG_0006	NIL00003	GPE	N	N	N
EL13_ENG_0007	E0787371	GPE	N	N	N
EL13_ENG_0008	NIL00004	GPE	N	N	N
EL13_ENG_0009	NIL00005	GPE	N	N	N
EL13_ENG_0010	E0505048	GPE	N	N	N
EL13_ENG_0011	E0276658	GPE	N	N	N
EL13_ENG_0012	NIL00006	GPE	N	N	N
EL13_ENG_0013	E0175657	GPE	N	N	N
EL13_ENG_0014	E0615869	GPE	N	N	N
EL13_ENG_0015	NIL00007	GPE	N	N	N
EL13_ENG_0016	E0273299	GPE	N	N	N
EL13_ENG_0017	NIL00008	GPE	N	N	N
EL13_ENG_0018	E0775506	GPE	N	N	N
EL13_ENG_0019	NIL00009	GPE	N	N	N
EL13_ENG_0020	NIL00010	GPE	N	N	N
EL13_ENG_0021	NIL00011	GPE	N	N	N
EL13_ENG_0022	E0658319	GPE	N	N	N
EL13_ENG_0023	E0692580	GPE	N	N	N
EL13_ENG_0024	NIL00012	GPE	N	N	N
EL13_ENG_0025	E0283561	GPE	N	N	N
EL13_ENG_0026	NIL00013	GPE	N	N	N
EL13_ENG_0027	E0145283	GPE	N	N	N
EL13_ENG_0028	NIL00014	GPE	N	N	N
EL13_ENG_0029	NIL00015	GPE	N	N	N
EL13_ENG_0030	NIL00016	GPE	N	N	N
EL13_ENG_0031	NIL00017	GPE	N	N	N
EL13_ENG_0032	NIL00018	GPE	N	N	N
EL13_ENG_0033	E0696372	GPE	N	N	N
EL13_ENG_0034	NIL00019	GPE	N	N	N
EL13_ENG_0035	NIL00020	GPE	N	N	N
EL13_ENG_0036	NIL00021	GPE	N	N	N
EL13_ENG_0037	NIL00022	GPE	N	N	N
EL13_ENG_0038	NIL00023	GPE	N	N	N
EL13_ENG_0039	E0603224	GPE	N	N	N
EL13_ENG_0040	NIL00024	GPE	N	N	N
EL13_ENG_0041	NIL00025	GPE	N	N	N
EL13_ENG_0042	NIL00026	GPE	N	N	N
EL13_ENG_0043	E0514991	GPE	N	N	N
EL13_ENG_0044	NIL00027	GPE	N	N	N
EL13_ENG_0045	E0170122	GPE	N	N	N
EL13_ENG_0046	NIL00028	GPE	N	N	N
EL13_ENG_0047	E0548179	GPE	N	N	N
EL13_ENG_0048	NIL00029	GPE	N	N	N
EL13_ENG_0049	NIL00030	GPE	N	N	N
EL13_ENG_0050	E0140687	GPE	N	N	N
EL13_ENG_0051	NIL00031	GPE	N	N	N
EL13_ENG_0052	NIL00032	GPE	N	N	N
EL13_ENG_0053	E0136575	GPE	N	N	N
EL13_ENG_0054	E0166967	GPE	N	N	N
EL13_ENG_0055	NIL00033	GPE	N	N	N
